ID;Description;English;Testing
97;Breed Requirement - 0 = count, 1 = species name;让世界拥有 $0$ 个 $1$。;TestVal97
98;Breed Req Title, 0 = species name;$0$ 种群数量;TestVal98
99;Task Req, 0 = species name;已满足 $0$;TestVal99
100;Task Req, 0 = count, 1 = species, 2 = percentage;让世界拥有 $0$ 个环境满意度超过 $2$% 的 $1$。;TestVal100
101;Hive Task;蜂巢装满数量;TestVal101
102;Hive Task;用蜂蜜装满一个蜂巢;TestVal102
103;Money Task, 0 = dp count;赚取 $0$ dp;TestVal103
104;Money Task, 0 = dp count;赚取超过 $0$ dp。;TestVal104
105;Unlock Message, 0 = item;解锁 $0$;TestVal105
106;Task Complete;任务完成！;TestVal106
107;Task Collect, 0 = task name;现在可以领取 $0$ 任务的奖励了。;TestVal107
108;Task Collect, 0 = task name;$0$ 任务的奖励已自动领取。;TestVal108
109;Task Completor;完成所有任务;TestVal109
110;Task Completor;完成所有其他任务。;TestVal110
111;Task Descriptions;看草生长;TestVal111
112;Task Descriptions;要开始新的生态系统，先种一些简单的草。在 植物商店 中点击草，然后往世界里放置一些草种。几秒钟后草就会长到最大。等待期间，你可以点击世界中的草来查看它的当前状态和其他选项。;TestVal112
117;Task Descriptions;绵羊成群;TestVal117
118;Task Descriptions;是时候养些动物了！创建一群绵羊，确保它们对生存环境满意并且有足够的食物。关于它们偏好的环境和饮食的信息可以在 物种信息面板 中找到。健康快乐的动物会为你提供稳定的 dp 收入。;TestVal118
119;Task Descriptions;更多草;TestVal119
120;Task Descriptions;我们需要更多的草！在世界其他地方种些草，让野生动物开始蔓延。你可以从商店购买新草，或者选择草的 操作 标签中的 移栽 选项，把一丛草移到新区域。移栽更贵。;TestVal120
121;Task Descriptions;种草达人;TestVal121
122;Task Descriptions;这是一个可重复任务，意味着你可以多次完成它并每次领取奖励。通过建立稳定的草供应，你基本上可以靠种草赚取 dp。;TestVal122
123;Task Descriptions;一天一苹果;TestVal123
124;Task Descriptions;这是一个可重复任务，意味着你可以多次完成它并每次领取奖励。这意味着你基本上可以靠种苹果赚取 dp！;TestVal124
125;Task Descriptions;强大丛林;TestVal125
126;Task Descriptions;通过解锁和放置相关的丛林物种，在世界中创造丛林生物群系。;TestVal126
127;Task Descriptions;树木爱好者;TestVal127
128;Task Descriptions;没有大量的树木，就无法拥有多样而精彩的生态系统！是时候打造一片包含各种不同树种的森林了。;TestVal128
129;Task Descriptions;完美主义者;TestVal129
130;Task Descriptions;完成游戏中所有其他任务即可完成此任务。你还需要解锁所有物种，并拥有大量 dp。;TestVal130
131;Task Descriptions;钱，钱，钱;TestVal131
132;Task Descriptions;这是有钱人的世界！明智投资，赚取大量 dp 来完成此任务！;TestVal132
133;Task State;未开始;TestVal133
134;Task State;进行中;TestVal134
135;Task State;领取奖励;TestVal135
136;Task State;已完成;TestVal136
137;Task State;未解锁！;TestVal137
138;Task Unlock Reward;已解锁新任务！;TestVal138
139;Task Unlock Reward Plural;已解锁新任务！;TestVal139
140;Task Unlock Reward, 0 = task name;你现在已解锁 $0$ 任务。;TestVal140
141;Task Unlock Reward, 0 = task count;你已解锁 $0$ 个任务。;TestVal141
142;Task Unlock Reward, 0 = task name;解锁 $0$ 任务;TestVal142
143;Task Unlock Reward, 0 = task count;解锁 $0$ 个任务;TestVal143
144;Claim Button;完成！;TestVal144
145;Claim Button;自动完成;TestVal145
146;Claim Button;领取奖励;TestVal146
147;Task Info UI;任务信息;TestVal147
148;Task Info UI;需求;TestVal148
149;Task Info UI;奖励;TestVal149
150;Locked Task Message;任务 $0$ 尚不可用，需要先完成其他任务才能开始此任务。所需任务如下：;TestVal150
151;Task UI, 0 = number of tasks;还有 $0$ 个……;TestVal151
152;Biome Picker;陆地;TestVal152
153;Biome Picker;水下;TestVal153
154;Biome Picker;贫瘠之地！;TestVal154
155;Biome Picker;海拔;TestVal155
156;Dp Counter;dp/分;TestVal156
157;Toolbar Tool Tips;帮助;TestVal157
158;Toolbar Tool Tips;关于如何游玩 Equilinox 的有用说明和小贴士。;TestVal158
159;Toolbar Tool Tips;已发现物种;TestVal159
160;Toolbar Tool Tips;植物商店;TestVal160
161;Toolbar Tool Tips;从这个商店购买植物和岩石并放入世界中。随着你完成任务和进化物种，新的物品会不断解锁。;TestVal161
162;Toolbar Tool Tips;已解锁物品;TestVal162
163;Toolbar Tool Tips;动物商店;TestVal163
164;Toolbar Tool Tips;在这里为你的世界购买动物。通过完成任务和进化现有动物来解锁更多动物。;TestVal164
165;Toolbar Tool Tips;已完成任务;TestVal165
166;Toolbar Tool Tips;任务;TestVal166
167;Toolbar Tool Tips;完成任务以获取多样性点数，并解锁新物种和新物品！;TestVal167
168;Toolbar Tool Tips;生物群系测试仪;TestVal168
169;Toolbar Tool Tips;此工具显示地形上某一点的生物群系分布，并显示海拔。;TestVal169
170;Toolbar Tool Tips;音乐标签;TestVal170
171;Toolbar Tool Tips;用于选择背景音乐的各种选项。;TestVal171
172;Toolbar Tool Tips;加速时间;TestVal172
173;Toolbar Tool Tips;点击切换快速时间模式。;TestVal173
174;Trait Modifier;无需费用;TestVal174
175;Traits Panel;定向培育;TestVal175
176;Control Option for entity;操控;TestVal176
177;Current Action;当前动作;TestVal177
178;Behaviour Description;忙碌工作;TestVal178
179;Behaviour Description;到处飞行;TestVal179
180;Behaviour Description;觅食;TestVal180
181;Behaviour Description;建造;TestVal181
182;Behaviour Description;狩猎;TestVal182
183;Behaviour Description;逃跑;TestVal183
184;Behaviour Description;被操控;TestVal184
185;Behaviour Description;游来游去;TestVal185
186;Behaviour Description;跟随父母;TestVal186
187;Behaviour Description;吃草;TestVal187
188;Behaviour Description;睡觉;TestVal188
189;Behaviour Description;撞击树木;TestVal189
190;Egg Behaviour;从蛋中孵化;TestVal190
191;Hunting description;狩猎;TestVal191
192;Attack Damage stat;攻击伤害;TestVal192
193;Defence Stat;防御点数;TestVal193
194;Life length stat;平均寿命;TestVal194
195;How decayed an item is, title;腐烂倒计时;TestVal195
196;Time counter;秒;TestVal196
197;Build progress for nests, dens, etc.;建造进度;TestVal197
198;Bird Behaviours;降落;TestVal198
199;Bird Behaviours;栖息;TestVal199
200;Problem Notification;问题;TestVal200
201;Problem with beavers building dens;没有地方建造巢穴;TestVal201
202;Decompose rate for structures that decompose;腐解速度;TestVal202
203;The rate value, 0 = build points per second;每秒 $0$ 建造点数;TestVal203
204;Grass Name;草丛;TestVal204
205;Grass Description;草丛是一种小型的初级植物，能够传播草原生物群系。这种快速生长的植物能在大多数地区存活，并为许多小生物提供食物。它在低海拔地区生长得最好。;TestVal205
206;Rock Name;褐色岩石;TestVal206
207;Rock Desc;一块大岩石。许多植物和动物喜欢生活在多岩石的环境中。;TestVal207
208;No ability for an entity message;该物种没有特殊能力。;TestVal208
209;Check list tip title;状态与信息;TestVal209
210;Check list tip description;关于你的世界和游戏进度的各种统计数据。你还可以在这里找到潜在进化的概览和过往通知的记录。;TestVal210
211;Flower Task Name;花的力量;TestVal211
212;Flower Task Desc;是时候给世界增添色彩了！从商店买一朵花并种下。Equilinox 中的植物会慢慢在附近区域蔓延，所以很快你就会拥有一小片花草。无需再买更多，它们会自己繁殖！;TestVal212
213;Daisy Name;雏菊;TestVal213
214;Daisy Desc;一朵简单的白花。花深受昆虫尤其是蜜蜂的喜爱，也可以被各种小型哺乳动物食用。雏菊生长非常快且容易，尤其在草地上种植时。;TestVal214
215;Full Growth Task Requirement, 0=species name;成熟的 $0$;TestVal215
216;Full Grown Task long desc, 0=count, 1=species name;培育 $0$ 棵成熟的 $1$;TestVal216
217;Tree Name;橡树;TestVal217
218;Tree Description;橡树是 Equilinox 中最基础的树，在大多数地区都能轻松生长。许多动物喜欢在自己的栖息地里有这种树。它比小型植物长得慢得多，但寿命也更长。;TestVal218
219;Tree Task Name;我的第一棵树;TestVal219
220;Tree Task Description;你会发现地形已经变绿了，这是因为草和雏菊创造出了草原生物群系。不同物种喜欢生活在不同的生物群系中，你可以在 物种信息 面板中查看它们的偏好。要在新的草原生物群系中合适海拔处种一棵树来完成任务。;TestVal220
221;Stones Name;石块;TestVal221
222;Stones Description;一小堆石头。有些植物在石头多的地区长得更好，有些动物也喜欢周围有石块和岩石。;TestVal222
223;Breed Requirement Name;附近物种;TestVal223
224;Wheat Name;小麦;TestVal224
225;Wheat Description;一种结有营养种子的草本植物。这种植物只能在低海拔的水边生长，并且更喜欢多石的地形。它是传播草原生物群系的好帮手，种子和植株本身都能为许多动物物种提供食物。;TestVal225
226;Wheat Task Name;小麦培育者;TestVal226
227;Wheat task description;你可以利用现有的野生动植物来解锁新物种！在世界中选择一丛草，进入 进化 标签。然后可以支付一些 DP 开始进化小麦物种。进化过程需要满足一定的条件——在这里你需要附近有一些石块。;TestVal227
228;Sheep Name;绵羊;TestVal228
229;Sheep Description;这种可爱毛茸茸的动物喜欢四处游荡吃草，如果找到水果的话也会吃！绵羊还喜欢在夜间睡觉，而且经常被掠食者捕猎。这是 Equilinox 中最基础的生物之一。;TestVal229
230;Task Name;基因改造;TestVal230
231;Task Descriptions;在世界中选中一株植物时，你可以在 特性 标签中看到它的当前性状。当植物繁殖时，这些性状会传给后代（会有细微变化）。点击 定向培育 选项，可以修改传给后代的性状。用它来创造出新的时尚蓝色雏菊吧！;TestVal231
232;Task req short desc, 0=colour, 1=species name;$0$ $1$ 种群数量;TestVal232
233;Task Req desc, 0=count, 1=colour, 2=species name;让世界拥有 $0$ 棵成熟的 $1$ $2$;TestVal233
234;Colour red;红色;TestVal234
235;Colour Blue;蓝色;TestVal235
236;Colour Green;绿色;TestVal236
237;Colour orange;橙色;TestVal237
238;Colour Yellow;黄色;TestVal238
239;Colour Purple;紫色;TestVal239
240;Colour Pink;粉色;TestVal240
241;Colour Grey;灰色;TestVal241
242;Colour White;白色;TestVal242
243;Colour Black;黑色;TestVal243
244;Elm Tree Name;榆树;TestVal244
245;Elm Tree Desc;一种小型的基础林地树木，鸟类喜欢停在上面。有助于提升林地生物群系的肥沃度。;TestVal245
246;Environement Breed Requirement Name;生物群系;TestVal246
247;Tall Tree Name;高大树木;TestVal247
248;Tall Tree Desc;一种常绿森林树木。这是最基础的森林树木，是打造森林栖息地的绝佳起点。这种树不能在贫瘠之地生长，但只要有稍微肥沃的森林地形就能存活。;TestVal248
249;Buttercup Name;毛茛;TestVal249
250;Buttercup Description;一簇生长在林地生物群系中的小黄花。主要受昆虫喜爱，但有些动物也欣赏它们为栖息地增添的一抹色彩。;TestVal250
251;Colour Trait Rquirement Name;颜色特性;TestVal251
252;Size Trait Name;体型特性;TestVal252
253;Apple Tree name;苹果树;TestVal253
254;Apple Tree Description;这棵树长大后会长出苹果。苹果会时不时从树上掉下来，为许多动物提供食物。它是森林树种，因此在森林中生长得最好，但也乐于在林地区域生长。;TestVal254
255;Fruit Producing Buff;果实产出速率;TestVal255
256;Fruit Boost;果实产出速率取决于周围环境的质量。环境满意度越高的植物产出的果实越多。;TestVal256
257;Fruit Boost;由于附近区域有昆虫，果实产量增加。;TestVal257
258;Fruit Production boost;果实产量提升;TestVal258
259;Tree Task;树木非凡;TestVal259
260;Tree Task Description;看看橡树的进化树，培育 3 个新的树种。使用基因改造并满足所有条件来创造这 3 个新物种。;TestVal260
261;Seaweed Name;海藻;TestVal261
262;Seaweed Description;一种生长在水中的高大禾草状植物。许多水下环境都离不开它，大多数鱼没有它就无法生存。在岩石地区生长得最好。;TestVal262
263;Chicken Name;鸡;TestVal263
264;ChickenDescription;鸡是一种简单的鸟类，喜欢整天四处走动啄食小麦种子。鸡还会下蛋，过一段时间蛋会孵化出小鸡。鸡更喜欢生活在树木不多的草地上，并且经常被各种掠食者捕猎。;TestVal264
265;Environmental Factor;不喜欢的物种;TestVal265
266;Chicken Task;养鸡场;TestVal266
267;Chickn Task;为鸡创造一个合适的生存区域，让它们有足够的食物并对环境感到满意。然后你就可以把第一批鸡放进世界了！;TestVal267
268;Boar Name;野猪;TestVal268
269;Boar Description;野猪喜欢生活在森林地区，周围环绕着树木。它是一种觅食动物，会吃水果和大多数小型植物。它还有能力挖出马铃薯植株，从而让大量营养丰富的马铃薯散落在附近地区，为其他动物提供食物。;TestVal269
270;Boar Task;野猪没那么“野”;TestVal270
271;Boar Task;使用进化系统解锁野猪物种，然后为野猪一家创造一个适合繁衍的环境。要解锁野猪，你需要让绵羊生活在非草原地区，并以苹果为食生存。;TestVal271
272;Rosemary Name;迷迭香;TestVal272
273;Rosemary Description;迷迭香是 Equilinox 中最基础的森林植物，可以用来开始创建森林生态系统。这种芳香的草本植物被树木环绕时长势最好，虽然它更喜欢肥沃的地区，但也能在贫瘠之地生长。不过它不能离水太近。;TestVal273
274;Poppy Name;罂粟花;TestVal274
275;Poppy Description;一朵生长在肥沃土壤中的红花。这种昂贵的植物对吃掉它的动物和以它为食的昆虫有安抚作用。;TestVal275
276;Tropical Flower Name;热带花;TestVal276
277;Tropical Flower Description;一朵色彩鲜艳的热带花。为任何热带地区增添一抹亮色。;TestVal277
278;Flower Name;蓝铃花;TestVal278
279;Flower Description;一种生长在山地地区的小蓝花。这种植物只能在少数几个生物群系中生存，并且必须种在高海拔地区。;TestVal279
280;Fern Name;蕨类植物;TestVal280
281;Fern Description;一种叶子很大的耐寒小型森林植物。它生活在森林或林地生物群系中，有助于提升森林生物群系的质量。;TestVal281
282;Juniper Name;杜松树;TestVal282
283;Juniper Description;一种高大的森林树木。这种树生长在森林生物群系的高海拔地区，深受许多森林动物的喜爱。喜欢与其他树木一起生长。;TestVal283
284;Warthog Name;疣猪;TestVal284
285;Warthog Description;一种喜欢生活在沼泽地区的黏糊糊的疣猪。它最喜欢的食物是芜菁，用两颗锋利的獠牙把它们挖出来。;TestVal285
286;Mushroom Name;白蘑菇;TestVal286
287;Mushroom Desc;一种喜欢生长在肥沃地区的小褐蘑菇。这种快速生长的真菌可以作为小型动物的食物来源。;TestVal287
288;Forest Tree;雪松;TestVal288
289;Forest Tree Desc;一种令人愉悦的森林树木。这种树可以生活在森林、林地或草原生物群系中，并喜欢有花相伴。它更喜欢在低海拔、离水不太远的地方生长。;TestVal289
290;Heather;帚石楠;TestVal290
291;Heather;一种开着漂亮紫花的耐寒小型森林植物。它需要在水边生长，是在低海拔地区传播森林生物群系的好方法。;TestVal291
292;Sage;鼠尾草;TestVal292
293;Sage Desc;一种多叶草本植物。这种植物可以在草地或森林地区生长，并能给小型动物提供食物。;TestVal293
294;Acer Name;枫树;TestVal294
295;Acer Desc;这棵色彩惊艳的树在田野中格外醒目。适合点缀任何地区。不喜欢生活在高大的树种附近。;TestVal295
296;Large Tree;大树;TestVal296
297;Large Tree;一棵令人惊叹的大树。考虑到它巨大的体型，它的生长速度快得惊人，长大后海狸可以砍伐它获得大量木材。生活在草地或森林生物群系的低海拔地区。;TestVal297
298;Cactus Name;小仙人掌;TestVal298
299;Cactus Desc;一个小刺球！这种仙人掌需要在沙漠生物群系中生长，并且更喜欢岩石地区。仙人掌的中心充满了清甜新鲜的水，为小型沙漠哺乳动物提供养分。;TestVal299
300;Yucca;丝兰;TestVal300
301;Yucca;一种生长在沙漠中的小型多刺植物。这是 Equilinox 中最基础的沙漠植物，是开始创建沙漠生物群系的好起点。;TestVal301
302;Medium Cactus;中型仙人掌;TestVal302
303;Cactus;一种高大的仙人掌，几乎可以在沙漠生物群系的任何地方生长。这种仙人掌还会传播沙漠生物群系，非常适合提升沙漠生态系统的质量。;TestVal303
304;Prickly Pear;仙人掌梨;TestVal304
305;Prickly Pear;一种非常扎人的仙人掌植物。这种植物喜欢生活在不那么多石的沙漠地区。它也是传播沙漠生物群系的好帮手。;TestVal305
306;Umbrella Tree;伞树;TestVal306
307;Umbrella Tree;一种长着棕色叶子的非常高大的树。这是少数能在沙漠生物群系中生长的树之一。;TestVal307
308;Giant Cactus;巨型仙人掌;TestVal308
309;Giant Cactus;一种生长在沙漠中的巨大多刺仙人掌。这种壮观的植物喜欢生活在远离树荫的岩石沙漠环境中。;TestVal309
310;Desert Tree;约书亚树;TestVal310
311;Desert Tree;一种能够在沙漠中生长的多叶树，尽管只能生长在离水较近的低海拔地区。这是 Equilinox 中仅有的几种能扛住沙漠酷热的树之一！;TestVal311
312;Jungle Tree;榕树;TestVal312
313;Jungle Tree;一种生长在丛林中的细长藤蔓小树。这种绿叶树覆盖着藤蔓，可以在任何丛林生物群系中生长。;TestVal313
314;Tall Jungle Tree;冠层树;TestVal314
315;Tall Jungle Tree;一棵非常大的丛林树。这棵树上有许多树枝，可供丛林鸟类（如巨嘴鸟）落脚！这是 Equilinox 中最高的树之一，并且只生长在更高海拔的丛林地区。;TestVal315
316;Jungle Plant;丛林植物;TestVal316
317;Jungle Plant;一种中等大小的丛林植物，长着大叶子和一朵彩色的花。这朵花有各种不同的颜色。这种植物只能生活在多石的丛林地区。;TestVal317
318;Vine Tree;藤树;TestVal318
319;Vine Tree;一种藤蔓垂挂的多叶丛林树。这是最基础也是最小的丛林树。只要有岩石在附近，它可以在任何丛林地区生长。;TestVal319
320;Jungle Flower;丛林花;TestVal320
321;Jungle Flower;一片生长旺盛的大蓝花。这些花更喜欢在靠近水的丛林地区生长。蝴蝶等昆虫喜欢吸食这些大花朵的花蜜。;TestVal321
322;Jungle Mushroom;丛林蘑菇;TestVal322
323;Jungle Mushroom;一些在丛林生物群系中生长旺盛的蓝色蘑菇。更喜欢在略高一些的海拔生长。;TestVal323
324;Jungle Rocks;丛林岩石;TestVal324
325;Jungle Rocks;一些长满苔藓的丛林岩石。;TestVal325
326;Jungle Grass;丛林草;TestVal326
327;Jungle Grass;这种长草是 Equilinox 中最基础的丛林植物。它可以用作丛林生态系统的基础。;TestVal327
328;Special Mushroom;热带蘑菇;TestVal328
329;Special Mushroom;这种蘑菇是一种高大的快速生长蘑菇，生活在热带或丛林生物群系中。;TestVal329
330;Roses;报春花;TestVal330
331;Roses;一束美丽的粉色报春花。这是开始创建繁茂生物群系的好方法。;TestVal331
332;Tall Mushroom;高蘑菇;TestVal332
333;Tall Mushroom;一种长得有点像巫师帽的高大粉色蘑菇。这种蘑菇主要喜欢生活在繁茂生物群系中，但也能够在其他肥沃地区存活。它生长迅速，喜欢栖息地中有石块。;TestVal333
334;Bamboo;竹子;TestVal334
335;Bamboo;高大且营养丰富的绿色茎秆。这些竹笋深受熊猫喜爱，或者说等熊猫加入 Equilinox 之后就会深受喜爱！在繁茂生物群系的近水岩石地区生长最好。;TestVal335
336;Pink Tree;粉树;TestVal336
337;Pink Tree;一棵在繁茂生物群系中茁壮成长的可爱粉色树。这棵快速生长的树没什么特别的，但它有助于传播繁茂生物群系，并用于培育更令人惊艳的树。;TestVal337
338;Red Tree;红树;TestVal338
339;Red Tree;一棵分叉的小红树。这棵漂亮的树会不断飘落红叶，树枝间还有空间让鸟儿落脚筑巢。这棵树喜欢在繁茂地区生长。;TestVal339
340;Cherry Tree;樱花树;TestVal340
341;Cherry Tree;一棵美丽的巨大树木，粉色的叶子像雪一样飘落。这棵雄伟的树生长在繁茂生物群系中，是游戏中最贵的树之一。;TestVal341
342;Tropical Flower;热带花;TestVal342
343;Tropical Flower;一种生长在热带地区的小型彩色花。;TestVal343
344;Tropical Plant;凤梨科植物;TestVal344
345;Tropical Plant;这种开花的美丽多叶植物可以在大多数热带地区生长，只要该地区不是太岩石化。它是完善任何热带地区的绝佳选择，也有助于提升生物群系的质量。;TestVal345
346;Leafy Plant;多叶植物;TestVal346
347;Leafy Plant;一种生长在热带地区的多叶植物。它除了帮助提升热带生物群系的质量外没有太多用途。;TestVal347
348;Flowery Grass;花草地;TestVal348
349;Flowery Grass;一片长而缠绕的草地，点缀着明亮的小蓝花。这种热带草是开始创建热带生物群系的绝佳方式，许多奇异生物可以在其中生活。;TestVal349
350;Pine Tree;松树;TestVal350
351;Pine Tree;一种生活在高海拔地区的极其高大的针叶树。它是游戏中最高的树之一，更喜欢生活在雪原或森林生物群系中。有大量树枝供鸟类落脚筑巢。;TestVal351
352;Fir Tree;冷杉树;TestVal352
353;Fir Tree;一种生活在雪原生物群系中的针叶树。它更喜欢岩石地区和高海拔。它也能在贫瘠之地生长，因此是开始创建雪原生物群系的好树。;TestVal353
354;Spruce Tree;云杉树;TestVal354
355;Spruce Tree;一种生活在山区的又高又细的针叶树。这种树需要寒冷的气候，因此必须种在雪原生物群系中。它不能靠近岩石生长。;TestVal355
356;Bluebell;蓝铃花;TestVal356
357;Bluebell;一种生长在山地地区的小蓝花。这种植物只能在少数几个生物群系中生存，并且必须种在高海拔地区。;TestVal357
358;Holly Bush;冬青灌木;TestVal358
359;Holly Bush;一种生长在雪地地区的小灌木。这种灌木结出红色的小浆果，可以食用，对生活在雪原生物群系中的动物非常有用。这是少数几种能在高海拔生存的食物来源之一。;TestVal359
360;Snow Rocks;雪岩;TestVal360
361;Snow Rocks;一堆被雪覆盖的岩石。;TestVal361
362;Spiral Tree;螺旋树;TestVal362
363;Spiral Tree;一棵有趣的树，树枝扭曲盘旋。它生长在繁茂生物群系中，喜欢和竹子一起在水边生长。热带鸟类喜欢在这棵螺旋树上筑巢。;TestVal363
364;Flower Tree;花树;TestVal364
365;Flower Tree;一棵美丽的大热带树，黄色的花束垂挂而下。这棵雄伟的树生长在热带或草地地区，更喜欢在稍高海拔、远离水的地方生长。这棵生长缓慢的树也是鸟类筑巢的理想场所。;TestVal365
366;Palm Tree;棕榈树;TestVal366
367;Palm Tree;这种多叶热带树喜欢生活在热带生物群系的水边。棕榈树会结出椰子，椰子会时不时从树上掉下来，可以被各种动物吃掉。它是 Equilinox 中最基础的热带树。;TestVal367
368;Tulip;郁金香;TestVal368
369;Tulip;一小片色彩鲜艳的花，能为世界上任何枯燥的角落增添光彩！只要地形肥沃翠绿，这些郁金香几乎可以在任何地方生长。深受昆虫和各种小型哺乳动物喜爱。;TestVal369
370;Cyan Colour;青色;TestVal370
371;Mint;野生薄荷;TestVal371
372;Mint;一种散发强烈薄荷香气的多叶小草本植物。它是传播草原生物群系的好植物，而且营养相当丰富。;TestVal372
373;Birch;桦树;TestVal373
374;Birch;一种几乎可以在任何草地地区生长的高大树木。为任何草原生物群系增添可爱的一笔！;TestVal374
375;Red Maple;红枫树;TestVal375
376;Red Maple;红枫树是枫树的一种。它偏好的栖息地是草原生物群系的中高海拔地区。它喜欢生活在没有岩石的地方。;TestVal376
377;Marsh Grass;沼泽草;TestVal377
378;Marsh Grass;一些生长在沼泽地区的黏糊糊的紫色草。这种植物需要在水边生长，并有助于传播沼泽生物群系。;TestVal378
379;Willow;柳树;TestVal379
380;Willow;一棵看起来病恹恹的树，叶子下垂。这棵树在沼泽地区生长最好，偏好没有石头的土壤。周围有蘑菇时长势良好。;TestVal380
381;Red Mushroom;红蘑菇;TestVal381
382;Red Mushroom;一种大型红色沼泽蘑菇。喜欢生活在靠近水的沼泽地区，有助于提升沼泽生物群系的质量。;TestVal382
383;Duck;鸭子;TestVal383
384;Duck;鸭子是一种喜欢生活在水边的鸟类。它喜欢游泳，还能潜入水下吃海藻。作为鸟类，鸭子也会下蛋。;TestVal384
385;Kelp;巨藻;TestVal385
386;Kelp;一种生长在水下的二级海藻植物。巨藻有助于提升河床生物群系的质量，许多鱼类和水生动物都需要这种环境。它可以在淡水和热带水域中生长。;TestVal386
387;Seaweed;海藻;TestVal387
388;Seaweed;一些生长在水中的简单海藻。这种植物生长非常快，能为一些水生动物提供少量食物。这是开始创建水下生态系统所需的第一种植物。;TestVal388
389;Trout;鳟鱼;TestVal389
390;Trout;一种生活在 Equilinox 河流和湖泊中的小型淡水鱼。它大部分时间漫无目的地游来游去，经常被更大的鱼捕食。它需要栖息地中有一些水生植物才能生存。;TestVal390
391;Herring;红鱼;TestVal391
392;Herring;红鱼生活在 Equilinox 的河流和湖泊中。这种鱼喜欢生活在巨藻海藻植物生长的地方。它能在一些热带地区生长，尽管不喜欢栖息地中有贝壳。;TestVal392
393;Turtle;乌龟;TestVal393
