ID;Description;English;Testing
97;Breed Requirement - 0 = count, 1 = species name;世界中拥有 $0$ 只 $1$。;TestVal97
98;Breed Req Title, 0 = species name;$0$种群;TestVal98
99;Task Req, 0 = species name;满足$0$;TestVal99
100;Task Req, 0 = count, 1 = species, 2 = percentage;世界中拥有$0$只$1$， 且环境满意度超过$2$%。;TestVal100
101;Hive Task;蜂巢满员;TestVal101
102;Hive Task;将蜂巢填满蜂蜜;TestVal102
103;Money Task, 0 = dp count;获得$0$ dp;TestVal103
104;Money Task, 0 = dp count;获得超过$0$ dp。;TestVal104
105;Unlock Message, 0 = item;解锁$0$;TestVal105
106;Task Complete;任务完成！;TestVal106
107;Task Collect, 0 = task name;你现在可以领取 ^$0$^ 任务的奖励了。;TestVal107
108;Task Collect, 0 = task name;^$0$^ 任务的奖励已自动 领取。;TestVal108
109;Task Completor;完成所有任务;TestVal109
110;Task Completor;完成所有 其他任务。;TestVal110
111;Task Descriptions;种草初体验;TestVal111
112;Task Descriptions;要开始一个新的生态系统， 先种一些简单的草。 点击^植物商店^中的草， 然后在世界中放置一些种子。 几秒钟后草就会长到最大。 等待期间你可以点击世界中的草来查看它的当前状态和其他选项。;TestVal112
117;Task Descriptions;羊来了;TestVal117
118;Task Descriptions;该养些动物了！ 创建一群羊， 确保它们对环境满意并有足够的食物。 关于它们偏好的环境和饮食信息可以在^物种信息面板^中找到。 健康快乐的动物会为你带来稳定的dp收入。;TestVal118
119;Task Descriptions;更多草;TestVal119
120;Task Descriptions;我们需要更多的草！ 在世界其他地方种些草来扩展野生动植物。 你可以从商店购买新草， 或者选择草的^操作^栏中的^移植^选项将草丛移到新区域。 移植更贵一些。;TestVal120
121;Task Descriptions;种草达人;TestVal121
122;Task Descriptions;这是一个可重复任务， 意味着你可以多次完成并每次领取奖励。 通过建立稳定的草供应， 你基本上可以种草赚dp。;TestVal122
123;Task Descriptions;一天一苹果;TestVal123
124;Task Descriptions;这是一个可重复任务， 意味着你可以多次完成并每次领取奖励。 这意味着你基本上可以种苹果赚dp！;TestVal124
125;Task Descriptions;茂密丛林;TestVal125
126;Task Descriptions;通过解锁并放置相关丛林物种， 在你的世界中创建一个丛林生态群落。;TestVal126
127;Task Descriptions;树木爱好者;TestVal127
128;Task Descriptions;没有大量树木就不可能有多样而精彩的生态系统！ 是时候创建一片由各种不同树种组成的森林了。;TestVal128
129;Task Descriptions;完美主义者;TestVal129
130;Task Descriptions;完成游戏中所有其他任务来完成此任务。 你还需要解锁所有物种， 并拥有大量dp。;TestVal130
131;Task Descriptions;钱钱钱;TestVal131
132;Task Descriptions;这是有钱人的世界！ 明智投资， 赚取大量dp来完成此任务！;TestVal132
133;Task State;未开始;TestVal133
134;Task State;进行中;TestVal134
135;Task State;领取奖励;TestVal135
136;Task State;已完成;TestVal136
137;Task State;未解锁！;TestVal137
138;Task Unlock Reward;新任务已解锁！;TestVal138
139;Task Unlock Reward Plural;新任务已解锁！;TestVal139
140;Task Unlock Reward, 0 = task name;你已解锁了 $0$ 任务。;TestVal140
141;Task Unlock Reward, 0 = task count;你已解锁了 $0$ 个任务。;TestVal141
142;Task Unlock Reward, 0 = task name;解锁$0$任务;TestVal142
143;Task Unlock Reward, 0 = task count;解锁$0$个任务;TestVal143
144;Claim Button;完成！;TestVal144
145;Claim Button;自动完成;TestVal145
146;Claim Button;领取奖励;TestVal146
147;Task Info UI;描述;TestVal147
148;Task Info UI;需求;TestVal148
149;Task Info UI;奖励;TestVal149
150;Locked Task Message;任务$0$尚不可用， 需要你先完成其他任务才能开始。 所需任务如下：;TestVal150
151;Task UI, 0 = number of tasks;+$0$个更多...;TestVal151
152;Biome Picker;陆地;TestVal152
153;Biome Picker;水下;TestVal153
154;Biome Picker;荒地！;TestVal154
155;Biome Picker;海拔;TestVal155
156;Dp Counter;dp/分;TestVal156
157;Toolbar Tool Tips;帮助;TestVal157
158;Toolbar Tool Tips;关于如何玩 Equilinox 的有用说明和 技巧。;TestVal158
159;Toolbar Tool Tips;已发现物种;TestVal159
160;Toolbar Tool Tips;植物商店;TestVal160
161;Toolbar Tool Tips;从这个商店购买植物和岩石并放置到世界中。 完成任务和进化物种时会解锁新物品。;TestVal161
162;Toolbar Tool Tips;已解锁物品;TestVal162
163;Toolbar Tool Tips;动物商店;TestVal163
164;Toolbar Tool Tips;在这里为你的世界购买动物。 通过完成任务和进化当前动物来解锁更多动物。;TestVal164
165;Toolbar Tool Tips;已完成任务;TestVal165
166;Toolbar Tool Tips;任务;TestVal166
167;Toolbar Tool Tips;完成任务获得多样 性点数并 解锁新物种和 物品！;TestVal167
168;Toolbar Tool Tips;生态测试器;TestVal168
169;Toolbar Tool Tips;此工具显示地形上某一点的生态群落分布， 同时显示海拔。;TestVal169
170;Toolbar Tool Tips;音乐栏;TestVal170
171;Toolbar Tool Tips;选择背景音乐的 各种选项。;TestVal171
172;Toolbar Tool Tips;加速时间;TestVal172
173;Toolbar Tool Tips;点击切换快速时间 模式。;TestVal173
174;Trait Modifier;免费;TestVal174
175;Traits Panel;选择性繁殖;TestVal175
176;Control Option for entity;接管控制;TestVal176
177;Current Action;当前行为;TestVal177
178;Behaviour Description;筑坝中;TestVal178
179;Behaviour Description;四处飞翔;TestVal179
180;Behaviour Description;觅食中;TestVal180
181;Behaviour Description;建造中;TestVal181
182;Behaviour Description;狩猎中;TestVal182
183;Behaviour Description;逃跑中;TestVal183
184;Behaviour Description;被控制中;TestVal184
185;Behaviour Description;四处游动;TestVal185
186;Behaviour Description;跟随父母;TestVal186
187;Behaviour Description;吃草中;TestVal187
188;Behaviour Description;睡觉中;TestVal188
189;Behaviour Description;撞树中;TestVal189
190;Egg Behaviour;正在孵化;TestVal190
191;Hunting description;狩猎中;TestVal191
192;Attack Damage stat;攻击力;TestVal192
193;Defence Stat;防御力;TestVal193
194;Life length stat;平均寿命;TestVal194
195;How decayed an item is, title;腐烂倒计时;TestVal195
196;Time counter;秒;TestVal196
197;Build progress for nests, dens, etc.;建造进度;TestVal197
198;Bird Behaviours;降落中;TestVal198
199;Bird Behaviours;栖息中;TestVal199
200;Problem Notification;问题;TestVal200
201;Problem with beavers building dens;无处建造巢穴;TestVal201
202;Decompose rate for structures that decompose;分解速率;TestVal202
203;The rate value, 0 = build points per second;每秒$0$建造点;TestVal203
204;Grass Name;草丛;TestVal204
205;Grass Description;草丛是一种小型基础植物， 能传播草原生态群落。 这种快速生长的植物能在大多数地区存活， 为许多小型生物提供食物。 在低海拔地区生长最好。;TestVal205
206;Rock Name;棕色岩石;TestVal206
207;Rock Desc;一大块岩石。 各种植物和动物喜欢生活在多岩石的栖息地。;TestVal207
208;No ability for an entity message;该物种没有 特殊能力。;TestVal208
209;Check list tip title;统计与信息;TestVal209
210;Check list tip description;关于你的世界和游戏进度的各种统计数据。 你还可以在这里找到潜在进化的概览和过去的通知日志。;TestVal210
211;Flower Task Name;花的力量;TestVal211
212;Flower Task Desc;是时候给世界增添一些色彩了！ 从商店买一朵花并种下。 Equilinox中的植物会慢慢向周围扩散， 很快你就会有一小片草地和花。 不需要再买更多， 它们会自己繁殖！;TestVal212
213;Daisy Name;雏菊;TestVal213
214;Daisy Desc;一朵简单的白花。 花受到昆虫尤其是蜜蜂的喜爱， 也可以被各种小型哺乳动物食用。 雏菊生长非常快速简单， 特别是在草地地区种植时。;TestVal214
215;Full Growth Task Requirement, 0=species name;完全长成的$0$;TestVal215
216;Full Grown Task long desc, 0=count, 1=species name;种植 $0$ 棵完全长成的 $1$;TestVal216
217;Tree Name;橡树;TestVal217
218;Tree Description;橡树是Equilinox中最基础的树， 在大多数地区都能顺利生长。 许多动物喜欢栖息地中有这种树。 它比小型植物生长慢得多， 但寿命也更长。;TestVal218
219;Tree Task Name;我的第一棵树;TestVal219
220;Tree Task Description;你会注意到地形已经变绿了， 这是因为草和雏菊创建了草原生态群落。 不同物种喜欢生活在不同的生态群落中， 你可以在^物种信息面板^中查看它们的偏好。 在合适海拔的新草原生态群落中种一棵树来完成此任务。;TestVal220
221;Stones Name;石子;TestVal221
222;Stones Description;一小堆石子。 有些植物在多石地区生长更好， 有些动物喜欢周围有石子和岩石。;TestVal222
223;Breed Requirement Name;附近物种;TestVal223
224;Wheat Name;小麦;TestVal224
225;Wheat Description;一种长有营养种子的草本植物。 这种植物只能在靠近水源的低海拔地区生长， 偏好多石地形。 它是草原生态群落的良好传播者， 种子和植物本身都为许多动物物种提供食物。;TestVal225
226;Wheat Task Name;小麦育种家;TestVal226
227;Wheat task description;你可以用当前的野生动植物来解锁新物种！ 选择世界中的一丛草， 进入^进化^栏。 然后你可以花一些DP开始进化小麦物种。 你需要满足某些条件才能推进进化过程——在这种情况下你需要附近有一些石子。;TestVal227
228;Sheep Name;绵羊;TestVal228
229;Sheep Description;这种可爱毛茸茸的动物喜欢四处漫游吃草， 或者如果找得到的话吃水果！ 绵羊也喜欢在晚上睡觉， 经常被捕食者猎杀。 这是Equilinox中最基础的生物之一。;TestVal229
230;Task Name;基因改造;TestVal230
231;Task Descriptions;当你选择世界中的一棵植物时， 你可以在^特征^栏中看到它当前的特征。 当植物繁殖时， 这些特征会传给后代（带有轻微变异） 。 点击^选择性繁殖^选项可以修改传递的特征。 用这个来创建一个时尚的蓝色雏菊新品种！;TestVal231
232;Task req short desc, 0=colour, 1=species name;$0$$1$种群;TestVal232
233;Task Req desc, 0=count, 1=colour, 2=species name;世界中拥有 $0$ 棵完全长成的 $1$$2$;TestVal233
234;Colour red;红色;TestVal234
235;Colour Blue;蓝色;TestVal235
236;Colour Green;绿色;TestVal236
237;Colour orange;橙色;TestVal237
238;Colour Yellow;黄色;TestVal238
239;Colour Purple;紫色;TestVal239
240;Colour Pink;粉色;TestVal240
241;Colour Grey;灰色;TestVal241
242;Colour White;白色;TestVal242
243;Colour Black;黑色;TestVal243
244;Elm Tree Name;榆树;TestVal244
245;Elm Tree Desc;一种小型基础林地树， 鸟类喜欢栖息在上面。 有助于提高林地生态群落肥沃度。;TestVal245
246;Environement Breed Requirement Name;生态群落;TestVal246
247;Tall Tree Name;高树;TestVal247
248;Tall Tree Desc;一种常绿森林树。 这是最基础的森林树， 是创建森林栖息地的良好起点。 这种树不能在荒地生长， 但只需要稍微肥沃的森林地形就能存活。;TestVal248
249;Buttercup Name;毛茛;TestVal249
250;Buttercup Description;一丛生长在林地生态群落中的小黄花。 主要受到昆虫的喜爱， 但一些动物也欣赏栖息地中额外的色彩。;TestVal250
251;Colour Trait Rquirement Name;颜色特征;TestVal251
252;Size Trait Name;体型特征;TestVal252
253;Apple Tree name;苹果树;TestVal253
254;Apple Tree Description;这种树在完全长成后会结出苹果。 苹果偶尔会从树上掉落， 为许多动物提供食物。 它是一种森林树， 在森林中生长最好， 但也能在林地地区生长。;TestVal254
255;Fruit Producing Buff;果实产出率;TestVal255
256;Fruit Boost;基于周围环境质量的果实产出率。 环境满意度越高的植物产出更多果实。;TestVal256
257;Fruit Boost;由于当地昆虫的 存在而增加的 果实产出。;TestVal257
258;Fruit Production boost;果实产出加成;TestVal258
259;Tree Task;树木大亨;TestVal259
260;Tree Task Description;查看橡树的进化树， 培育3个新树种。 使用基因改造并满足所有条件来创建这3个新物种。;TestVal260
261;Seaweed Name;海草;TestVal261
262;Seaweed Description;一种生长在水中的高草状植物。 对许多水下环境至关重要， 大多数鱼没有它就无法生存。 在多石地区生长最好。;TestVal262
263;Chicken Name;鸡;TestVal263
264;ChickenDescription;鸡是一种简单的鸟类， 喜欢整天四处走动啄食小麦种子。 鸡还会下蛋， 蛋过一段时间会孵成小鸡。 鸡偏好生活在树木不多的草地地区， 经常被各种捕食者猎杀。;TestVal264
265;Environmental Factor;厌恶的物种;TestVal265
266;Chicken Task;养鸡场;TestVal266
267;Chickn Task;为鸡创建一个适宜的生活区域， 让它们有足够的食物存活并对环境满意。 然后你就可以把第一批鸡放入世界了！;TestVal267
268;Boar Name;野猪;TestVal268
269;Boar Description;野猪偏好生活在被树木环绕的森林地区。 它是一种觅食动物， 会吃水果和大多数小型植物。 它还有能力挖出土豆植株， 将营养丰富的土豆散布到周围地区， 为其他动物提供食物。;TestVal269
270;Boar Task;野猪出没;TestVal270
271;Boar Task;使用进化系统解锁野猪物种， 然后为一窝野猪创建适宜的生存环境。 要解锁野猪， 你需要让绵羊生活在非草原地区， 在那里它们应该以苹果为食。;TestVal271
272;Rosemary Name;迷迭香;TestVal272
273;Rosemary Description;迷迭香是Equilinox中最基础的森林植物， 可以用来开始创建森林生态系统。 这种芳香的草本植物在被树木环绕时生长最好， 虽然偏好肥沃地区但也能在荒地生长。 但不能太靠近水源。;TestVal273
274;Poppy Name;罂粟;TestVal274
275;Poppy Description;一朵生长在肥沃土壤中的红色花。 这种昂贵的植物对食用它的动物和从中采蜜的昆虫都有镇静效果。;TestVal275
276;Tropical Flower Name;热带花;TestVal276
277;Tropical Flower Description;一朵色彩鲜艳的热带花。 为任何热带地区增添色彩。;TestVal277
278;Flower Name;风铃草;TestVal278
279;Flower Description;一种生长在山区的蓝色小花。 这种植物只能在少数特定的生态群落中存活， 必须在高海拔地区种植。;TestVal279
280;Fern Name;蕨类;TestVal280
281;Fern Description;一种叶片较大的小型耐寒森林植物。 它生活在森林或林地生态群落中， 有助于提高森林生态群落的质量。;TestVal281
282;Juniper Name;杜松树;TestVal282
283;Juniper Description;一种高大的森林树。 这种树在森林生态群落的较高海拔处生长， 受到许多森林动物的喜爱。 喜欢与其他树木一起生长。;TestVal283
284;Warthog Name;疣猪;TestVal284
285;Warthog Description;一种喜欢生活在沼泽地区的黏滑疣猪。 它最喜欢的零食是芜菁， 用两颗锋利的獠牙挖出来吃。;TestVal285
286;Mushroom Name;双孢蘑菇;TestVal286
287;Mushroom Desc;一种偏好肥沃地区的小型棕色蘑菇。 这种快速生长的真菌可以作为小型动物的食物来源。;TestVal287
288;Forest Tree;雪松树;TestVal288
289;Forest Tree Desc;一种令人愉悦的森林树。 这种树可以生活在森林、 林地或草原生态群落中， 喜欢花的陪伴。 偏好低海拔生长， 不要太远离水源。;TestVal289
290;Heather;石楠;TestVal290
291;Heather;一种开着漂亮紫色花的小型耐寒森林植物。 需要在水源附近生长， 是在低海拔地区传播森林生态群落的好方法。;TestVal291
292;Sage;鼠尾草;TestVal292
293;Sage Desc;一种多叶草本植物。 这种植物可以在草地或森林地区生长， 能为小型动物提供食物。;TestVal293
294;Acer Name;槭树;TestVal294
295;Acer Desc;这种色彩绚丽的树在田野中格外引人注目。 为任何地区增添美景。 偏好不与高树物种为邻。;TestVal295
296;Large Tree;大树;TestVal296
297;Large Tree;一种壮观的大树。 考虑到它巨大的体型， 生长速度出奇地快， 长成后海狸可以收割它获得大量木材。 生活在草原或森林生态群落的低海拔地区。;TestVal297
298;Cactus Name;小仙人掌;TestVal298
299;Cactus Desc;一个带刺的小球！ 这种仙人掌需要在沙漠生态群落中生长， 偏好多石地区。 仙人掌中心充满了清爽的淡水， 为小型沙漠哺乳动物提供营养。;TestVal299
300;Yucca;丝兰;TestVal300
301;Yucca;一种生长在沙漠中的小型带刺植物。 这是Equilinox中最基础的沙漠植物， 是创建沙漠生态群落的良好起点。;TestVal301
302;Medium Cactus;中仙人掌;TestVal302
303;Cactus;一种高仙人掌， 几乎可以在沙漠生态群落的任何地方生长。 这种仙人掌还能传播沙漠生态群落， 非常适合改善沙漠生态系统的质量。;TestVal303
304;Prickly Pear;刺梨;TestVal304
305;Prickly Pear;一种非常带刺的仙人掌。 这种植物偏好生活在非多石的沙漠地区。 它也是沙漠生态群落的良好传播者。;TestVal305
306;Umbrella Tree;伞树;TestVal306
307;Umbrella Tree;一种非常大的高树， 长着棕色叶子。 是少数能在沙漠生态群落中生长的树之一。;TestVal307
308;Giant Cactus;巨型仙人掌;TestVal308
309;Giant Cactus;一种生长在沙漠中的巨大带刺仙人掌。 这种壮观的植物偏好生活在多石的沙漠环境中， 远离树木的阴影。;TestVal309
310;Desert Tree;约书亚树;TestVal310
311;Desert Tree;一种多叶的树， 能在沙漠中生长， 尽管只能在海拔较低且相对靠近水源的地区。 这是Equilinox中少数能忍受沙漠高温的树之一！;TestVal311
312;Jungle Tree;榕树;TestVal312
313;Jungle Tree;一种生长在丛林中的小型纤细藤蔓树。 这种绿叶树覆盖着藤蔓， 可以在任何丛林生态群落中生长。;TestVal313
314;Tall Jungle Tree;冠层树;TestVal314
315;Tall Jungle Tree;一种非常大的丛林树。 这棵树有很多树枝供丛林鸟类（如巨嘴鸟） 栖息！ 这是Equilinox中最高的树之一， 只在较高海拔的丛林地区生长。;TestVal315
316;Jungle Plant;丛林植物;TestVal316
317;Jungle Plant;一种中等大小的丛林植物， 有大叶子和色彩鲜艳的花。 花有多种不同颜色。 这种植物只能生活在多石的丛林地区。;TestVal317
318;Vine Tree;藤蔓树;TestVal318
319;Vine Tree;一种挂着藤蔓的多叶丛林树。 这是最基础的丛林树， 也是最矮的。 只要附近有岩石， 它就能在任何丛林地区生长。;TestVal319
320;Jungle Flower;丛林花;TestVal320
321;Jungle Flower;一丛在丛林中生长良好的蓝色大花。 这些花偏好生长在靠近水源的丛林地区。 昆虫如蝴蝶喜欢从大花朵中采蜜。;TestVal321
322;Jungle Mushroom;丛林蘑菇;TestVal322
323;Jungle Mushroom;一些在丛林生态群落中生长良好的蓝色蘑菇。 偏好生长在稍高的海拔。;TestVal323
324;Jungle Rocks;丛林岩石;TestVal324
325;Jungle Rocks;一些长满苔藓的 丛林岩石。;TestVal325
326;Jungle Grass;丛林草;TestVal326
327;Jungle Grass;这种长草是Equilinox中最基础的丛林植物。 可以用来为丛林生态系统打下基础。;TestVal327
328;Special Mushroom;热带蘑菇;TestVal328
329;Special Mushroom;这种蘑菇是一种高大、 快速生长的蘑菇， 生活在热带或丛林生态群落中。;TestVal329
330;Roses;报春花;TestVal330
331;Roses;一丛美丽的粉色报春花。 这是开始创建葱郁生态群落的好方法。;TestVal331
332;Tall Mushroom;高蘑菇;TestVal332
333;Tall Mushroom;一种高大的粉色蘑菇， 看起来有点像巫师的帽子。 这种蘑菇主要喜欢生活在葱郁生态群落中， 但也能在其他肥沃地区存活。 生长快速， 喜欢栖息地中有石子。;TestVal333
334;Bamboo;竹子;TestVal334
335;Bamboo;高大营养的绿色竹竿。 这些竹笋受到熊猫的喜爱， 或者说等熊猫被添加到Equilinox后就会！ 在葱郁生态群落中靠近水源的多石地区生长最好。;TestVal335
336;Pink Tree;粉树;TestVal336
337;Pink Tree;一种在葱郁生态群落中茁壮成长的可爱粉树。 这种快速生长的树没什么特别的， 但有助于传播葱郁生态群落， 也用于培育更令人印象深刻的树。;TestVal337
338;Red Tree;红树;TestVal338
339;Red Tree;一种小型分叉的红树。 这种漂亮的树不断掉落红叶， 树枝间有空间供鸟类栖息筑巢。 这种树喜欢在葱郁地区生长。;TestVal339
340;Cherry Tree;樱桃树;TestVal340
341;Cherry Tree;一种美丽的大树， 粉色叶子像雪花一样从树上飘落。 这种雄伟的树生长在葱郁生态群落中， 是游戏中最昂贵的树之一。;TestVal341
342;Tropical Flower;热带花;TestVal342
343;Tropical Flower;一种生长在 热带地区的 小型彩色花。;TestVal343
344;Tropical Plant;凤梨;TestVal344
345;Tropical Plant;这种美丽的多叶开花植物在大多数热带地区生长， 只要该地区不太多的岩石。 它是完善任何热带地区的好方法， 有助于提高生态群落质量。;TestVal345
346;Leafy Plant;多叶植物;TestVal346
347;Leafy Plant;一种生长在热带地区的多叶植物。 除了帮助提高热带生态群落质量外没有太多用途。;TestVal347
348;Flowery Grass;花草;TestVal348
349;Flowery Grass;一丛长而纠缠的草， 带有明亮的小蓝花。 这种热带草是开始创建热带生态群落的好方法， 许多异域生物可以在此生活。;TestVal349
350;Pine Tree;松树;TestVal350
351;Pine Tree;一种极高的针叶树， 生活在高海拔地区。 游戏中最高的树之一， 偏好生活在雪地或森林生态群落。 有很多树枝供鸟类栖息筑巢。;TestVal351
352;Fir Tree;冷杉;TestVal352
353;Fir Tree;一种生活在雪地生态群落的针叶树。 偏好多石地区和高海拔。 也能在荒地生长， 使其成为开始创建雪地生态群落的好树种。;TestVal353
354;Spruce Tree;云杉;TestVal354
355;Spruce Tree;一种高大细长的针叶树， 生活在山区。 这种树需要寒冷气候， 因此必须在雪地生态群落中种植。 不能在岩石附近生长。;TestVal355
356;Bluebell;风铃草;TestVal356
357;Bluebell;一种生长在山区的蓝色小花。 这种植物只能在少数特定的生态群落中存活， 必须在高海拔地区种植。;TestVal357
358;Holly Bush;冬青灌木;TestVal358
359;Holly Bush;一种生长在雪地地区的小灌木。 这种灌木会结出可食用的红色小浆果， 对生活在雪地生态群落的动物非常有用。 这是少数能在高海拔存活的食物来源之一。;TestVal359
360;Snow Rocks;雪地岩石;TestVal360
361;Snow Rocks;一簇被雪覆盖的 岩石。;TestVal361
362;Spiral Tree;螺旋树;TestVal362
363;Spiral Tree;一种外观有趣的树， 有着扭曲的树枝。 生长在葱郁生态群落中， 偏好在水源附近与竹子一起生长。 热带鸟类喜欢在螺旋树上筑巢。;TestVal363
364;Flower Tree;花树;TestVal364
365;Flower Tree;一种大型美丽的热带树， 挂着一串串黄色花朵。 这种壮观的树生长在热带或草地地区， 偏好稍高海拔、 远离水源的地方。 这种生长缓慢的树也是鸟类筑巢的完美场所。;TestVal365
366;Palm Tree;棕榈树;TestVal366
367;Palm Tree;这种多叶的热带树喜欢生活在热带生态群落中靠近水源的地方。 棕榈树会结出椰子， 椰子不时从树上掉落， 可以被各种动物食用。 是Equilinox中所有热带树中最基础的。;TestVal367
368;Tulip;郁金香;TestVal368
369;Tulip;一小丛色彩鲜艳的花， 能点亮世界中任何暗淡的区域！ 这些郁金香几乎可以生活在任何地区， 只要地形肥沃且绿意盎然。 受到昆虫和各种小型哺乳动物的喜爱。;TestVal369
370;Cyan Colour;青色;TestVal370
371;Mint;野薄荷;TestVal371
372;Mint;一种小型多叶草本植物， 有非常清凉的薄荷香气。 是传播草原生态群落的好植物， 而且营养价值也相当高。;TestVal372
373;Birch;白桦树;TestVal373
374;Birch;一种高大的树， 几乎可以在任何草地地区生长。 为任何草原生态群落增添美景！;TestVal374
375;Red Maple;红枫树;TestVal375
376;Red Maple;红枫树是槭树的一种。 它偏好的栖息地是草原生态群落， 中高海拔。 喜欢生活在没有岩石的地区。;TestVal376
377;Marsh Grass;沼泽草;TestVal377
378;Marsh Grass;一些生长在沼泽地区的黏滑紫色草。 这种植物需要在水源附近生长， 有助于传播沼泽生态群落。;TestVal378
379;Willow;柳树;TestVal379
380;Willow;一种看起来病恹恹的树， 叶子下垂。 这种树在沼泽地区生长最好， 偏好无石土壤。 被蘑菇环绕时生长良好。;TestVal380
381;Red Mushroom;红蘑菇;TestVal381
382;Red Mushroom;一种大型红色沼泽蘑菇。 喜欢生活在靠近水源的沼泽地区， 有助于提高沼泽生态群落的质量。;TestVal382
383;Duck;鸭子;TestVal383
384;Duck;鸭子是一种喜欢生活在水源附近的鸟。 它喜欢游泳， 能潜入水下吃海草。 作为鸟类， 鸭子也会下蛋。;TestVal384
385;Kelp;海带;TestVal385
386;Kelp;一种生长在水下的二级海草植物。 海带有助于提高河床生态群落的质量， 许多鱼类和水生动物都需要它。 它可以在淡水和热带水域中生长。;TestVal386
387;Seaweed;海草;TestVal387
388;Seaweed;一些生长在水中的简单海草。 这种植物生长非常快， 为一些水生动物提供少量食物。 这是你开始创建水下生态系统所需的第一种植物。;TestVal388
389;Trout;鳟鱼;TestVal389
390;Trout;一种生活在Equilinox河流和湖泊中的小型淡水鱼。 它大部分时间漫无目的地游来游去， 经常被大鱼猎杀。 它的栖息地中需要有一些水生植物才能存活。;TestVal390
391;Herring;红鱼;TestVal391
392;Herring;红鱼栖息在Equilinox的河流和湖泊中。 这种鱼喜欢生活在海带生长的地区。 它能在一些热带地区生长， 虽然不喜欢栖息地中有贝壳。;TestVal392
393;Turtle;乌龟;TestVal393
